variable,value,dataset_number,year,publication
arike_2012_1,0.08161421195696873,79.0,158948.0,0.0
li_2014_complete_1,0.07137994241650644,158.0,159106.0,0.0
li_2014_minimal_1,0.0646783762795283,237.0,159106.0,0.0
li_2014_without_methionine_1,0.07171656638505144,316.0,159106.0,0.0
lu_2007_1,0.06208805258937254,395.0,158553.0,0.0
mori_2021_A1_EQ353_calibration_samples_μ=0.69/h_1,0.10026754759845032,4424.0,159659.0,0.0
mori_2021_A1_EQ353_calibration_samples_μ=0.69/h_2,0.10035131657436556,4503.0,159659.0,0.0
mori_2021_A1_EQ353_calibration_samples_μ=0.69/h_3,0.10142964312395718,4582.0,159659.0,0.0
mori_2021_A2_R-limitation_μ=0.98/h_1,0.08948336201415574,6715.0,159659.0,0.0
mori_2021_C1_EQ353_calibration_samples_μ=0.73/h_1,0.10034270751242738,4661.0,159659.0,0.0
mori_2021_C2_C-limitation_μ=0.91/h_1,0.08184254146963994,4977.0,159659.0,0.0
mori_2021_C3_C-limitation_μ=0.77/h_1,0.08782362600810457,5056.0,159659.0,0.0
mori_2021_C4_C-limitation_μ=0.69/h_1,0.09224805550249349,5135.0,159659.0,0.0
mori_2021_C5_C-limitation_μ=0.56/h_1,0.09623121424147746,5214.0,159659.0,0.0
mori_2021_C6_C-limitation_μ=0.48/h_1,0.1016158438816878,5293.0,159659.0,0.0
mori_2021_C7_C-limitation_μ=0.35/h_1,0.1068177041356123,5372.0,159659.0,0.0
mori_2021_C8_C-limitation_μ=0.72/h_1,0.09145185327853159,5451.0,159659.0,0.0
mori_2021_D1_A-limitation_μ=0.22/h_1,0.11581380543904711,6162.0,159659.0,0.0
mori_2021_D2_A-limitation_μ=0.36/h_1,0.11145906250271401,6241.0,159659.0,0.0
mori_2021_D3_A-limitation_μ=0.54/h_1,0.10649909740653248,6320.0,159659.0,0.0
mori_2021_D4_A-limitation_μ=0.67/h_1,0.10057071284100592,6399.0,159659.0,0.0
mori_2021_D5_A-limitation_μ=0.91/h_1,0.08174014506807298,6478.0,159659.0,0.0
mori_2021_D6_C-limitation_μ=0.56/h_1,0.09466219083976254,5530.0,159659.0,0.0
mori_2021_D7_C-limitation_μ=0.33/h_1,0.10705484165769692,5609.0,159659.0,0.0
mori_2021_D8_C-limitation_μ=0.49/h_1,0.09951768659646328,5688.0,159659.0,0.0
mori_2021_E1_R-limitation_μ=0.79/h_1,0.08221558100624203,6794.0,159659.0,0.0
mori_2021_E2_R-limitation_μ=0.61/h_1,0.07637694053197931,6873.0,159659.0,0.0
mori_2021_E3_R-limitation_μ=0.49/h_1,0.07217961226313717,6952.0,159659.0,0.0
mori_2021_E4_R-limitation_μ=0.36/h_1,0.06887534376194616,7031.0,159659.0,0.0
mori_2021_F1_EQ353_calibration_samples_μ=0.71/h_1,0.10019850777748306,4740.0,159659.0,0.0
mori_2021_F1_EQ353_calibration_samples_μ=0.71/h_2,0.10135786842515618,4819.0,159659.0,0.0
mori_2021_F1_EQ353_calibration_samples_μ=0.71/h_3,0.10177727442539683,4898.0,159659.0,0.0
mori_2021_F2_A-limitation_μ=0.89/h_1,0.08182402194239889,6557.0,159659.0,0.0
mori_2021_F3_A-limitation_μ=0.84/h_1,0.0816824218752906,6636.0,159659.0,0.0
mori_2021_F4_C-limitation_μ=0.81/h_1,0.08564898207728752,5767.0,159659.0,0.0
mori_2021_F5_C-limitation_μ=0.71/h_1,0.09072537191775641,5846.0,159659.0,0.0
mori_2021_F6_C-limitation_μ=0.55/h_1,0.09468821516245268,5925.0,159659.0,0.0
mori_2021_F7_C-limitation_μ=0.5/h_1,0.09993280333355271,6004.0,159659.0,0.0
mori_2021_F8_C-limitation_μ=0.34/h_1,0.10719209509897316,6083.0,159659.0,0.0
mori_2021_H1_R-limitation_μ=0.98/h_1,0.08649159463388896,7110.0,159659.0,0.0
mori_2021_H5_R-limitation_μ=0.97/h_1,0.08733851551706608,7189.0,159659.0,0.0
peebo_2015_minimal_μ=0.21/h_1,0.12016588911572836,2607.0,159185.0,0.0
peebo_2015_minimal_μ=0.22/h_2,0.12180135986034485,2923.0,159185.0,0.0
peebo_2015_minimal_μ=0.26/h_2,0.11898649519824442,3002.0,159185.0,0.0
peebo_2015_minimal_μ=0.31/h_1,0.11153531396584902,2686.0,159185.0,0.0
peebo_2015_minimal_μ=0.36/h_2,0.10783022409263468,3081.0,159185.0,0.0
peebo_2015_minimal_μ=0.41/h_1,0.10239666236246694,2765.0,159185.0,0.0
peebo_2015_minimal_μ=0.46/h_2,0.09957282325957047,3160.0,159185.0,0.0
peebo_2015_minimal_μ=0.51/h_1,0.09185168056221855,2844.0,159185.0,0.0
peebo_2015_minimal_μ=0.51/h_2,0.0932127752780084,3239.0,159185.0,0.0
peebo_2015_rich_μ=0.22/h_1,0.19062566963616134,3318.0,159185.0,0.0
peebo_2015_rich_μ=0.22/h_2,0.19347021277495938,3950.0,159185.0,0.0
peebo_2015_rich_μ=0.25/h_1,0.20188898994942603,3397.0,159185.0,0.0
peebo_2015_rich_μ=0.35/h_1,0.1909720970005585,3476.0,159185.0,0.0
peebo_2015_rich_μ=0.42/h_2,0.1762910912453736,4029.0,159185.0,0.0
peebo_2015_rich_μ=0.45/h_1,0.18318002285296484,3555.0,159185.0,0.0
peebo_2015_rich_μ=0.53/h_2,0.17057254833871396,4108.0,159185.0,0.0
peebo_2015_rich_μ=0.55/h_1,0.1719676095290118,3634.0,159185.0,0.0
peebo_2015_rich_μ=0.63/h_2,0.15782821833706456,4187.0,159185.0,0.0
peebo_2015_rich_μ=0.65/h_1,0.1574688659569006,3713.0,159185.0,0.0
peebo_2015_rich_μ=0.73/h_2,0.14731197131641105,4266.0,159185.0,0.0
peebo_2015_rich_μ=0.74/h_1,0.1488199196042481,3792.0,159185.0,0.0
peebo_2015_rich_μ=0.78/h_2,0.13980553304606932,4345.0,159185.0,0.0
peebo_2015_rich_μ=0.82/h_1,0.13283673943917024,3871.0,159185.0,0.0
schmidt_2016_42°c_glucose_1,0.1107726509999367,2054.0,159264.0,0.0
schmidt_2016_acetate_1,0.1934375761865281,1106.0,159264.0,0.0
schmidt_2016_chemostat_µ=0.12_1,0.17607914784232453,1738.0,159264.0,0.0
schmidt_2016_chemostat_µ=0.20_1,0.16855330307449554,1659.0,159264.0,0.0
schmidt_2016_chemostat_µ=0.35_1,0.16091968815257707,1580.0,159264.0,0.0
schmidt_2016_chemostat_µ=0.5_1,0.14275635267751854,1501.0,159264.0,0.0
schmidt_2016_fructose_1,0.1269478810780062,2528.0,159264.0,0.0
schmidt_2016_fumarate_1,0.14858219935228928,1185.0,159264.0,0.0
schmidt_2016_galactose_1,0.15411189963515926,2370.0,159264.0,0.0
schmidt_2016_glucosamine_1,0.1381899518950223,1264.0,159264.0,0.0
schmidt_2016_glucose_1,0.10843182483568667,869.0,159264.0,0.0
schmidt_2016_glycerol_+_aa_1,0.12703609230118926,1027.0,159264.0,0.0
schmidt_2016_glycerol_1,0.12794882482351852,1343.0,159264.0,0.0
schmidt_2016_lb_1,0.15616539378098585,948.0,159264.0,0.0
schmidt_2016_mannose_1,0.14813995377271472,2291.0,159264.0,0.0
schmidt_2016_osmotic-stress_glucose_1,0.10711197124987473,1975.0,159264.0,0.0
schmidt_2016_ph6_glucose_1,0.10710471809080394,2133.0,159264.0,0.0
schmidt_2016_pyruvate_1,0.16931847887652227,1422.0,159264.0,0.0
schmidt_2016_stationary_phase_1_day_1,0.1539613129141013,1817.0,159264.0,0.0
schmidt_2016_stationary_phase_3_days_1,0.15901084441477945,1896.0,159264.0,0.0
schmidt_2016_succinate_1,0.14433349275606436,2449.0,159264.0,0.0
schmidt_2016_xylose_1,0.12278533497327879,2212.0,159264.0,0.0
valgepea_2013_μ=0.11/h_1,0.08160733921699866,474.0,159027.0,0.0
valgepea_2013_μ=0.21/h_1,0.09626184260242769,553.0,159027.0,0.0
valgepea_2013_μ=0.31/h_1,0.09134697501964718,632.0,159027.0,0.0
valgepea_2013_μ=0.40/h_1,0.08453727800646946,711.0,159027.0,0.0
valgepea_2013_μ=0.48/h_1,0.07161008805934581,790.0,159027.0,0.0
wu_2023_A1_glucose_μ=0.96/h,0.12801730560231792,0.0,0.0,0.0
wu_2023_A26_glycerol_μ=0.67/h,0.15052493470206996,0.0,0.0,0.0
wu_2023_A27_glycerol_μ=0.67/h,0.14631836139962004,0.0,0.0,0.0
wu_2023_A28_glycerol_μ=0.67/h,0.14824704027391486,0.0,0.0,0.0
wu_2023_A29_glycerol+AA_μ=1.45/h,0.12416068861618257,0.0,0.0,0.0
wu_2023_A2_glucose_μ=0.95/h,0.12885170009138341,0.0,0.0,0.0
wu_2023_A30_glycerol+AA-ser_μ=1.17/h,0.13901092966284367,0.0,0.0,0.0
wu_2023_A31_glycerol+AA-ser-met_μ=0.98/h,0.12684379368656876,0.0,0.0,0.0
wu_2023_A32_glycerol_μ=na/h,0.12871280175762448,0.0,0.0,0.0
wu_2023_A33_glycerol_μ=na/h,0.12664940443153344,0.0,0.0,0.0
wu_2023_A34_glycerol_μ=na/h,0.12941268833267866,0.0,0.0,0.0
wu_2023_A35_glycerol_μ=na/h,0.1484476009224664,0.0,0.0,0.0
wu_2023_A36_glycerol_μ=na/h,0.1345399130763905,0.0,0.0,0.0
wu_2023_A37_glycerol_μ=na/h,0.12993113745064633,0.0,0.0,0.0
wu_2023_A38_glycerol_μ=na/h,0.1324101342281298,0.0,0.0,0.0
wu_2023_A39_glycerol_μ=na/h,0.14173103439327175,0.0,0.0,0.0
wu_2023_A3_4_glucose_μ=0.96/h,0.1317125623588012,0.0,0.0,0.0
wu_2023_A3_5_glucose_μ=0.96/h,0.13126392512293067,0.0,0.0,0.0
wu_2023_A3_6_glucose_μ=0.96/h,0.13162926120578325,0.0,0.0,0.0
wu_2023_A3_7_glucose_μ=0.96/h,0.13369233106506295,0.0,0.0,0.0
wu_2023_A3_8_glucose_μ=0.96/h,0.12998714133128275,0.0,0.0,0.0
wu_2023_A7_glucose_μ=0.68/h,0.1621155866944567,0.0,0.0,0.0
wu_2023_A8_glucose_μ=0.67/h,0.16419303251336498,0.0,0.0,0.0
wu_2023_A9_glucose_μ=0.68/h,0.16148586149969715,0.0,0.0,0.0
wu_2023_M1_glucose_μ=0.96/h,0.13435584249237761,0.0,0.0,0.0
wu_2023_M2_glucose_μ=0.75/h,0.1444572424598648,0.0,0.0,0.0
wu_2023_M3_glucose_μ=0.54/h,0.15547214192479816,0.0,0.0,0.0
wu_2023_M4_glucose_μ=0.33/h,0.16938684271597992,0.0,0.0,0.0
wu_2023_N5_glucose+RDM_μ=1.77/h,0.12418881380987896,0.0,0.0,0.0
wu_2023_N6_RDM_μ=1.42/h,0.1489098317556831,0.0,0.0,0.0
wu_2023_N7_glucose+AA_μ=1.58/h,0.1364226088392241,0.0,0.0,0.0
wu_2023_N8_AA_μ=1.32/h,0.15829594271761901,0.0,0.0,0.0
wu_2023_O10_glucose_μ=0.66/h,0.15467976432015546,0.0,0.0,0.0
wu_2023_O8_LB_μ=2.19/h,0.11799579195098123,0.0,0.0,0.0
wu_2023_O9_glucose+RDM_μ=1.85/h,0.1269828609491487,0.0,0.0,0.0
wu_2023_P10_glucose_μ=0.35/h,0.1637429887261886,0.0,0.0,0.0
wu_2023_P1_glucose_μ=0.95/h,0.13080262495606487,0.0,0.0,0.0
wu_2023_P3_glucose_μ=0.64/h,0.13957655348960515,0.0,0.0,0.0
wu_2023_P8_glucose_μ=0.73/h,0.1503825543164054,0.0,0.0,0.0
wu_2023_P9_glucose_μ=0.53/h,0.15326560355149016,0.0,0.0,0.0
wu_2023_S1_glycerol+AA_μ=1.45/h,0.12498472365021984,0.0,0.0,0.0
wu_2023_S2_glycerol_μ=na/h,0.12465956461666647,0.0,0.0,0.0
wu_2023_S3_glycerol_μ=na/h,0.12558963159041067,0.0,0.0,0.0
wu_2023_S4_glycerol_μ=na/h,0.13415653188252208,0.0,0.0,0.0
wu_2023_S5_glycerol_μ=na/h,0.1462426967662686,0.0,0.0,0.0
