,variable,organism,value
0,LFQ Intensity A549_1,mammalian,0.14567881019882425
1,LFQ Intensity A549_2,mammalian,0.14906129584992303
2,LFQ Intensity A549_3,mammalian,0.14725279450753356
3,LFQ Intensity GAMG_1,mammalian,0.1414440652498695
4,LFQ Intensity GAMG_2,mammalian,0.14264706284541653
5,LFQ Intensity GAMG_3,mammalian,0.14280186011109763
6,LFQ Intensity HEK293_1,mammalian,0.1332669721594746
7,LFQ Intensity HEK293_2,mammalian,0.1305058653806318
8,LFQ Intensity HEK293_3,mammalian,0.1393793223864318
9,LFQ Intensity HeLa_1,mammalian,0.15354426971738436
10,LFQ Intensity HeLa_2,mammalian,0.15516894129456246
11,LFQ Intensity HeLa_3,mammalian,0.15656624448404094
12,LFQ Intensity HepG2_1,mammalian,0.1999120514842003
13,LFQ Intensity HepG2_2,mammalian,0.2037090760160112
14,LFQ Intensity HepG2_3,mammalian,0.219252013855748
15,LFQ Intensity Jurkat_1,mammalian,0.1431046509803318
16,LFQ Intensity Jurkat_2,mammalian,0.14418156403908353
17,LFQ Intensity Jurkat_3,mammalian,0.14857898557104127
18,LFQ Intensity K562_1,mammalian,0.13951968849463647
19,LFQ Intensity K562_2,mammalian,0.13669388422180864
20,LFQ Intensity K562_3,mammalian,0.15921112535268817
21,LFQ Intensity LnCap_1,mammalian,0.26368014051136784
22,LFQ Intensity LnCap_2,mammalian,0.2661144475635921
23,LFQ Intensity LnCap_3,mammalian,0.2821218450517988
24,LFQ Intensity MCF7_1,mammalian,0.14694785601632127
25,LFQ Intensity MCF7_2,mammalian,0.15254001321688343
26,LFQ Intensity MCF7_3,mammalian,0.16000066157784068
27,LFQ Intensity RKO_1,mammalian,0.17614979783091564
28,LFQ Intensity RKO_2,mammalian,0.17418711294589945
29,LFQ Intensity RKO_3,mammalian,0.18189780698238034
30,LFQ Intensity U2OS_1,mammalian,0.12445445344385216
31,LFQ Intensity U2OS_2,mammalian,0.12262631298993501
32,LFQ Intensity U2OS_3,mammalian,0.12727591006709466
